日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20190228,4732,ユー・エス・エス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,4,TOPIX Mid400
20190228,4733,オービックビジネスコンサルタント,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
20190228,4734,ビーイング,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4735,京進,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20190228,4736,日本ラッド,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4739,伊藤忠テクノソリューションズ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
20190228,4743,アイティフォー,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20190228,4745,東京個別指導学院,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20190228,4746,東計電算,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20190228,4748,構造計画研究所,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4750,ダイサン,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20190228,4751,サイバーエージェント,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,4,TOPIX Mid400
20190228,4752,昭和システムエンジニアリング,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4754,トスネット,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20190228,4755,楽天,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,4,TOPIX Mid400
20190228,4760,アルファ,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20190228,4761,さくらケーシーエス,市場第二部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4762,エックスネット,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20190228,4763,クリーク・アンド・リバー社,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20190228,4764,ＳＡＭＵＲＡＩ＆Ｊ　ＰＡＲＴＮＥＲＳ,JASDAQ(グロース・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4765,モーニングスター,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20190228,4766,ピーエイ,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20190228,4767,テー・オー・ダブリュー,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20190228,4768,大塚商会,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,4,TOPIX Mid400
20190228,4769,インフォメーションクリエーティブ,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4770,図研エルミック,市場第二部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4771,エフアンドエム,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20190228,4772,ストリームメディアコーポレーション,JASDAQ(グロース・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4776,サイボウズ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20190228,4777,ガーラ,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20190228,4779,ソフトブレーン,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20190228,4781,日本ハウズイング,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
